1063011,500,GRAND ST,1
1055752,790,RIVERSIDE DR,1
5175695,80,COLUMBUS CIR,1
1046974,900,W  END AVE,1
1058671,4841,BROADWAY,1
5180634,1295,MORRIS AVE,2
5180635,1294,MORRIS AVE,2
5170519,17,PITT ST,1
1019098,1165,BROADWAY,1
1030575,720,5 AVE,1
1031122,125,PARK AVE,1
5179948,592,E  178 ST,2
5185661,165,WILSON ST,5
5049767,50,DAFFODIL LN,5
1064336,372,5 AVE,1
3243618,2671,86 ST,3
3009972,66,2 ST,3
9214223,805,5 AVE,3
1030753,545,5 AVE,1
5135650,215,MURRAY ST,1
5135651,225,MURRAY ST,1
5135652,235,MURRAY ST,1
5135653,245,MURRAY ST,1
5135689,255,MURRAY ST,1
3315105,3858,NOSTRAND AVE,3
85599,99-09,71 AVE,4
1019415,390,5 AVE,1
3314574,32,HAVEMEYER ST,3
2002380,761,ST ANNS AVE,2
1033677,950,5 AVE,1
9117737,490,E  91 ST,1
1051185,550,RIVERSIDE DR,1
1047337,785,W  END AVE,1
1032906,673,MADISON AVE,1
1047625,2875,BROADWAY,1
1061361,1585,BROADWAY,1
1058653,4791,BROADWAY,1
5132005,2057,LINDEN BLVD,3
2102220,60,W  162 ST,2
1020360,445,5 AVE,1
5180985,2646,HARDING AVE,2
1047581,360,RIVERSIDE DR,1
1020968,407,PARK AVE S,1
5180943,2622,HARDING AVE,2
5180944,2636,HARDING AVE,2
5180974,2638,HARDING AVE,2
5180983,2640,HARDING AVE,2
1047629,395,RIVERSIDE DR,1
161666,75-22,PARSONS BLVD,4
1020271,232,MADISON AVE,1
1027627,333,W  END AVE,1
1020339,265,MADISON AVE,1
1023585,1700,BROADWAY,1
1020860,61,LEXINGTON AVE,1
1047598,375,RIVERSIDE DR,1
1054399,635,RIVERSIDE DR,1
1000530,95,WALL ST,1
1031338,641,LEXINGTON AVE,1
1022988,1431,BROADWAY,1
1025768,1841,BROADWAY,1
1053726,3456,BROADWAY,1
1038387,245,E  87 ST,1
1040157,1240,PARK AVE,1
1029485,610,W  END AVE,1
1030492,700,5 AVE,1
1053076,336,CONVENT AVE,1
5159873,10,CHRISTOPHER ST,1
229744,89-28,150 ST,4
5166942,2279,3 AVE,1
5166947,47,MARKHAM LN,5
5160414,645,5 AVE,1
5160554,450,FRONT ST,5
5166989,673,5 AVE,1
5167005,299,MADISON AVE,1
5167036,380,RIVERSIDE DR,1
5167039,545,MADISON AVE,1
5167055,561,7 AVE,1
5161013,51,ASTOR PL,1
5161242,2623,SCHURZ AVE,2
5161879,600,COLUMBUS AVE,1
10164527,425,5 AVE,1
5164568,800,AVE OF THE AMERICAS,1
1031986,300,E  42 ST,1
5173836,300,W  55 ST,1
5173877,4646,PARK AVE,2
1029568,640,W  END AVE,1
1047012,924,W  END AVE,1
2002333,797,ST ANNS AVE,2
2002355,789,ST ANNS AVE,2
2002337,801,ST ANNS AVE,2
1030968,527,MADISON AVE,1
161670,75-22,PARSONS BLVD,4
1027392,358,W  END AVE,1
3130543,350,NEW LOTS AVE,3
1030829,595,5 AVE,1
2002407,753,ST ANNS AVE,2
2002382,763,ST ANNS AVE,2
1047379,285,RIVERSIDE DR,1
2002335,799,ST ANNS AVE,2
1030029,599,W  END AVE,1
5180907,301,E  TREMONT AVE,2
2002353,787,ST ANNS AVE,2
1029367,520,W  END AVE,1
1036885,1048,5 AVE,1
1047344,270,RIVERSIDE DR,1
1027280,280,W  END AVE,1
1030132,200,RIVERSIDE DR,1
1018733,108,5 AVE,1
5181282,140,REYNOLDS AVE,2
1036958,1080,PARK AVE,1
1036704,998,5 AVE,1
1046892,858,W  END AVE,1
1019862,280,PARK AVE S,1
1011773,41,5 AVE,1
1020187,349,5 AVE,1
1058522,4996,BROADWAY,1
1020900,97,LEXINGTON AVE,1
1036306,1409,YORK AVE,1
1027355,2150,BROADWAY,1
1021396,130,E  37 ST,1
2002357,791,ST ANNS AVE,2
1019158,1178,BROADWAY,1
1020919,100,LEXINGTON AVE,1
5128829,300,W  57 ST,1
5128830,123,3 AVE,1
5133969,40,SKINNER LN,5
5133971,39,MARKHAM LN,5
5133972,32,SKINNER LN,5
5130475,805,ST ANNS AVE,2
5130478,795,ST ANNS AVE,2
5130550,75,W  END AVE,1
5150048,1481,5 AVE,1
10171446,31-06,FARRINGTON ST,4
5130471,807,ST ANNS AVE,2
5141876,2101,LEXINGTON AVE,1
5135889,521,5 AVE,1
5135929,1271,BROADWAY,1
5135950,1250,BROADWAY,1
5136073,560,W  END AVE,1
5136074,792,COLUMBUS AVE,1
5136075,839,W  END AVE,1
5136077,325,RIVERSIDE DR,1
5136089,2700,BROADWAY,1
5155371,825,3 AVE,1
1047679,420,RIVERSIDE DR,1
2002384,765,ST ANNS AVE,2
5006457,417,BROADWAY,5
2002403,749,ST ANNS AVE,2
1033833,750,LEXINGTON AVE,1
1030525,712,5 AVE,1
1030957,520,MADISON AVE,1
1029587,670,W  END AVE,1
1037452,957,PARK AVE,1
1021162,180,LEXINGTON AVE,1
1061895,4300,BROADWAY,1
1019220,1214,BROADWAY,1
